Компонент,Категория,Тикеты,Чаты,Всего
Drinkit → Маркетинг и акции → Реферальная программа Приведи друга (Френдзона),Акции и скидки,152,0,152
Касса → Касса ресторана → Печать чека,Касса,5,105,110
Drinkit → Маркетинг и акции → Китбокс,Акции и скидки,86,0,86
Drinkit → Компьютерное зрение → Проблемы с автоотжатием ячеек,Умная выдача,16,53,69
Киоск → Продажи → Печать чека,Печать,3,52,55
Drinkit → Продукты,Учёт,31,23,54
Drinkit → Маркетинг и акции → Акции в России,Меню и продукты,46,1,47
Разное (вне компетенции),Сотрудники,9,31,40
Менеджер офиса → Команда → Сотрудники,Сотрудники,6,33,39
Drinkit → Приложение клиентов → Авторизация,Приложение,35,0,35
Drinkit → Умная выдача → Другое,Умная выдача,7,26,33
Drinkit → Приложение клиентов → Корзина → Применение акции,Приложение,29,0,29
Менеджер офиса → Аналитика,Отчёты,3,24,27
Менеджер офиса → Учёт → Перемещения,Учёт,6,20,26
Drinkit → Скидки для сотрудников Drinkit,Акции и скидки,12,12,24
Массовое падение (Инцидент),Учёт,0,21,21
Администратор подразделения → Ассортимент,Меню и продукты,4,17,21
Менеджер смены → Сырье → Перемещения,Учёт,3,16,19
Drinkit → Менеджер офиса → Учёт → Расчёт заказа сырья по чекам,Учёт,3,15,18
Касса → Касса ресторана → Приложение кассы ресторана,Касса,0,16,16
Drinkit → Умная выдача → Ячейки → Не светятся и дисплеи и подсветка,Умная выдача,4,12,16
Касса → Касса ресторана → Оплата картой,Касса,0,15,15
Касса → Касса ресторана → Печать фото на чеке → Ошибки в работе/печати,Касса,7,8,15
Администратор подразделения → Подразделение → Основные настройки,Сотрудники,2,12,14
Drinkit → Приложение клиентов → Корзина → Вкладка корзина,Приложение,12,1,13
Drinkit → Умная выдача → Активация,Умная выдача,2,11,13
Менеджер смены → Заказы,Сотрудники,1,11,12
Dodo IS → Авторизация Dodo IS,Приложение,1,11,12
Drinkit → Умная выдача → Ячейки → Дисплей,Умная выдача,2,10,12
Менеджер смены → Сырье → Списания,Учёт,3,9,12
Drinkit → Маркетинг и акции → Подарок другу,Акции и скидки,11,0,11
КЦ → Разное,Другое,10,1,11
Менеджер офиса → Учёт → Потери и избыток,Учёт,2,9,11
Киоск → Эквайринг → Ошибка оплаты,Касса,1,10,11
Менеджер офиса → Учёт → Списания,Учёт,3,7,10
Drinkit → Приложение клиентов → Корзина → Оплата заказа (способ оплаты),Приложение,10,0,10
Drinkit → Приложение клиентов → Профиль → Удаление аккаунта,Приложение,10,0,10
Профиль клиента → Обезличивание аккаунта,Другое,9,0,9
Киоск → Продажи → Печать чека → Печать фото на чеке,Печать,2,7,9
Drinkit → Приложение клиентов → Выбор заведения,Приложение,9,0,9
Принтер Додо → Маркировка → Другие вопросы,Печать,0,8,8
Drinkit → Приложение клиентов → Меню → Меню продуктов,Меню и продукты,5,3,8
Менеджер смены → Стоп → Продукты и ингредиенты,Меню и продукты,0,8,8
Менеджер офиса → Команда → Сотрудники (запрос на редактирование карточки),Сотрудники,2,6,8
Codo → Бот → Рассылки,Сотрудники,3,4,7
Киоск → Интерфейс → Ошибки в интерфейсе,Приложение,0,7,7
Drinkit → Приложение клиентов → Заказ,Приложение,7,0,7
Drinkit → Компьютерное зрение → Подключение автоотжатия ячеек,Умная выдача,1,6,7
Drinkit → Умная выдача → Ячейки → Ячейки зависли,Умная выдача,1,6,7
Drinkit → Маркетинг и акции → Абонемент на кофе (Кофепасс),Акции и скидки,6,0,6
